Lotação,Ordem pref.,Informações sobre a cidade,Habitantes,IDH,Região,Dist. BH e rodovia,Nº. defensores,Farmácia alto custo,Observações
ABRE CAMPO CRIME,,,13.927,"0,719",,"220 km. Entre 3 e 4h de viagem, BR 381 + BR 262",3,,
ARAÇUAÍ MISTA 1,,,,,,,,,
ARAÇUAÍ MISTA 2,,,,,,,,,
BOA ESPERANÇA CRIME,7,Cidade banhada pelo Lago de Furnas. ,40.530,"0,704",,290 km. 4h pela BR 381 (DUPLICADA!!),2,,A defensora que se remove é Mariana Bissoni. Entrar em contato
BRASÍLIA DE MINAS CÍVEL,,,,,,,,,
CAPARAÓ AUXILIAR REGIONAL,,,,,,,,,
CARATINGA CÍVEL 1,,,,,,,,,
CARATINGA COOP,,,,,,,,,
CARATINGA CRIME,,,,,,,,,
CARATINGA CIVEL 2,,,,,,,,,
DIAMANTINA FAMILIA,1,"Cidade histórica. Tem hoteis, restaurantes",47.702,"0,716",Jequitinhonha,300 km. 4h de viagem,2,,Defensora não tão nova na unidade
FORMIGA COOP,,,,,,,2,,
GOVERNADOR VALADARES CRIME 1,,,,,,,,,
GOVERNADOR VALADARES CRIME 2,,,,,,,,,
IPATINGA CÍVEL,,,,,,,,,
IPATINGA AUXILIAR REGIONAL,,,,,,,,,
IPATINGA CRIME,,,,,,,,,
IPATINGA COOP,,,,,,,,,
ITUIUTABA COOP,2,,105.000,"0,739",,"130 km, 1h30 de Uberlândia. 700km de BH, 10h de viagem",4,,"Defensores muito antigos. Saúde; Juizado
Especial Fazendário; criança e do adolescente (Cível); curadorias especiais das
1ª 2ª e 3ª Varas Cíveis e Vara da criança e adolescente."
ITURAMA COOP,52,,38.295,"0,747",Triângulo I,750km de BH. 240km de Uberlândia = 3h30,2,,"Não gostei, muito próximo do MS. A Defensora que está lá na outra vaga é muito antiga"
JANUÁRIA CRIME,,,,,,,,,
JANUÁRIA FAMILIA,,,,,,,,,
MANHUAÇU CÍVEL 1,,,,,,,,,
MANHUAÇU CÍVEL 2,,,,,,,,,
MANHUAÇU CRIME 1,,,,,,,,,
MANHUAÇU CRIME 2,,,,,,,,,
MARIANA MISTA,,,,,,,,,
MONTES CLAROS JURI 1,,,,,,,,,
MONTES CLAROS COOP,,,,,,,,,
MONTES CLAROS JURI 2,,,,,,,,,
MONTES CLAROS CRIME,,,,,,,,,
NANUQUE CÍVEL,,,,,,,,,
NOVA SERRANA,,,,,,,,,
NOVO CRUZEIRO MISTA,,,,,,,,,
PARACATU CÍVEL 1,,,,,,,,,
PARACATU CÍVEL 2,,,,,,,,,
PARACATU CRIME 1,,,,,,,,,
PARACATU CRIME 2,,,,,,,,,
PATROCÍNIO CRIME 1,4,"É muito perto de Uberlândia, que tem um aeroporto bom, com voos em aviões grandes. ",90.000,"0,729",Triângulo II,420km. 6h. BR-262. Apenas 150km de Uberlândia = 2h30,3,,Tem um defensor antigo lá e criaram duas vagas novas. As duas a serem preenchidas pelo novo concurso
PATROCÍNIO CRIME 2,5,"É muito perto de Uberlândia, que tem um aeroporto bom, com voos em aviões grandes. ",90.000,"0,729",Triângulo II,420km. 6h. BR-262. Apenas 150km de Uberlândia = 2h30,3,,Tem um defensor antigo lá e criaram duas vagas novas. As duas a serem preenchidas pelo novo concurso
PIRAPORA CRIME,,,,,,,,,
PITANGUI MISTA,,,,,,,,,
RIBEIRÃO DAS NEVES EXECUÇÃO,,NÃO VAI SOBRAR. ÚNICA DA REGIÃO METROPOLITANA,,,,,,,
SALINAS MISTA 1,,,,,,,,,
SALINAS MISTA 2,,,,,,,,,
TEÓFILO OTONI EXECUÇÃO,,,,,,,,,
TEÓFILO OTONI AUXILIAR REGIONAL,,,,,,,,,
TEÓFILO OTONI COOP 1,,,,,,,,,
TEÓFILO OTONI COOP 2,,,,,,,,,
UNAÍ FAMILIA,3,"Muito próxima de Brasília, mas muito distante de qualquer outra cidade em Minas Gerais de porte grande.",85.000,"0,736",Noroeste,"150 km de Brasília, 2h20min. 8h de BH, 600 km",4,,"Duas vagas novas foram criadas, já existem dois defensores na comarca"
UNAÍ COOP,6,"Muito próxima de Brasília, mas muito distante de qualquer outra cidade em Minas Gerais de porte grande.",85.000,"0,736",Noroeste,"150 km de Brasília, 2h20min. 8h de BH, 600 km",4,,"Duas vagas novas foram criadas, já existem dois defensores na comarca"
VISCONDE DO RIO BRANCO CRIME,8,"Fica a 20 km, 30 min, de Ubá. Pertíssimo do RJ. Ubá tem 100 mil hab. Dificuldade: distância de aeroportos. Fica próximo de Juiz de Fora, mas o aeroporto de lá é péssimo. Compensa ir de carro ao Galeão",39.160,"0,709",Zona da Mata II,"De Ubá, 245km via BR-040, 5h de viagem. ",2,,Defensora antiga na outra lotação. Sâmara Damato.